issue,title,primary finding,validator comment,status,root cause (URL),size,id-temp,primary-temp,su
findings-10,Lack of functionality Prevents Upgrades in PhiNFT1155 Contracts,findings-10,owner cannot call function,Satisfactory,,,1010,1010,S
findings-11,Refunds sent to incorrect addresses in certain cases,findings-11,msg.value is handled incorrectly at this.claim,Satisfactory,,,1011,1011,S
findings-12,Hardcoded Fee Destination in PhiNFT1155/CreatorRoyaltiesControl Contracts Risks Misallocated or loss of Funds,validation-549,qa,Satisfactory,,,1012,549,S
findings-13,Incorrect Fee Calculation in getArtMintFee and createArtFromFactory Leads to Undercharging,findings-13,incorrect calculation of bp,Satisfactory,,,1013,1013,S
findings-14,Unrestricted Changes to Token Settings Allow Artists to Alter Critical Features,findings-14,"inherent centralization risk, qa or m",Satisfactory,,,1014,1014,S
findings-15,"The Cred::_addCredIdPerAddress is publicly exposed, because its visibility is incorrectly specified",findings-51,visibility,Satisfactory,,,1015,1051,S
findings-16,"The whole Cred.sol contract can become unusable and unrecoverable, because the _removeCredIdPerAddress function has public visibility",findings-51,visibility,Satisfactory,,,1016,1051,S
findings-17,"The SHARE_LOCK_PERIOD can be bypassed, and shares can be bought and sold during the same transaction immediately",findings-25,reentracncy,Satisfactory,,,1017,1025,S
findings-18,PhiNFT1155 contract not EIP-1155 compliant,findings-18,don’t emit erc1155 event,Satisfactory,,,1018,1018,S
findings-19,Claim Function Fails to Refund Excess ETH Correctly,findings-11,msg.value is handled incorrectly at this.claim,Satisfactory,,,1019,1011,S
findings-20,Anyone can DOS user cred sales/unsignaling,findings-51,visibility,Satisfactory,,,1020,1051,S
findings-21,Attacker can manipulate  flashloan protection to steal rewards from other users during reward distribution,findings-25,reentracncy,Satisfactory,,,1021,1025,S
findings-22,Refunding excess payment for minting art will fail since the `PhiFactory` contract lacks the receive/fallback function,findings-11,and it will revert,Satisfactory,,,1022,1011,S
findings-24,Insufficient Signature Verification Allows Unauthorized and Multiple Art Creations,validation-131,replay & lack of validation,Satisfactory,,,1024,131,S
findings-25,"Reentrancy Vulnerability Allows Bypass of Cooldown, Leading to Unfair Reward Extraction Through Flash Loan",findings-25,reentracncy,Satisfactory,,,1025,1025,S
findings-26,Potential MEV attack due to improper implementation of ````CuratorRewardsDistributor.distribute()````,findings-26,distribute mev,Satisfactory,,,1026,1026,S
findings-27,No access control on function CuratorRewardsDistributor::distribute allows anyone to distribute rewards and take royalty fees,findings-27,it is not dust,Satisfactory,,,1027,1027,S
findings-28,"When `PhiFactory.claim` function is called with a `msg.value` that is more than total mint fee, the difference between such `msg.value` and total mint fee cannot be refunded to caller of such function",findings-11,msg.value is handled incorrectly at this.claim,Satisfactory,,,1028,1011,S
findings-29,`Claimable.signatureClaim` or `Claimable.merkleClaim` function caller fails to receive refund of difference between `msg.value` and total mint fee,findings-11,msg.value is handled incorrectly at this.claim,Satisfactory,,,1029,1011,S
findings-3,`claim` function: Excess ether did not return to the user,findings-11,msg.value is handled incorrectly at this.claim,Satisfactory,,,1003,1011,S
findings-30,`CuratorRewardsDistributor.distribute` function incorrectly emits `distributeAmount` though it should emit `actualDistributeAmount` instead for `RewardsDistributed` event's `distributeAmount` data,findings-30,no impact,Unsatisfactory,,,1030,,U
findings-31,Signature that corresponds to `signedData_` used for calling `Cred.createCred` function can be replayed to create multiple new creds,findings-31,sender is checked,Unsatisfactory,,,1031,,U
findings-32,`PhiFactory.createArt` function is DOS'ed when it is called with a `msg.value` that is more than art creation fee even though it is supposed to finish art creation process and refund difference between such `msg.value` and art creation fee to its caller,findings-11,and it will revert,Satisfactory,,,1032,1011,S
findings-33,`PhiFactory.setProtocolFee` function is always DOS'ed when there is a need for setting `mintProtocolFee` to a normal protocol mint fee value in ETH,findings-13,incorrect calculation of bp,Satisfactory,,,1033,1013,S
findings-34,Signature corresponding to a used `signedData_` can be replayed to update an existing cred for multiple times through calling `Cred.updateCred` function,findings-34,sender is checked,Unsatisfactory,,,1034,,U
findings-35,"`RewardControl.withdrawFor` function can be called without `from` address' authorization, which can frontrun and DOS `from` address' `RewardControl.withdraw` function call and trigger `from` address' `receive` function's logics without its approval",findings-35,intended behavior,Unsatisfactory,,,1035,,U
findings-36,`PhiFactory.setArtCreatFee` function is always DOS'ed when `artCreateFee` needs to be set to a normal art creation fee value in ETH,findings-13,incorrect calculation of bp,Satisfactory,,,1036,1013,S
findings-37,Signature associated with a used `encodeData_` for calling `PhiFactory.signatureClaim` function can be replayed to claim an art repeatedly,findings-37,intended behavior,Unsatisfactory,,,1037,,U
findings-38,`PhiRewards.depositRewards` function's restriction on self-referral would become ineffective when minter controls and uses another address as referrer,findings-38,intended behavior,Unsatisfactory,,,1038,,U
findings-39,Used Merkle proof can be replayed to claim corresponding art for multiple times,findings-39,intended behavior,Unsatisfactory,,,1039,,U
findings-4,The results of batch acquisition of buy and sell prices are inaccurate,findings-4,invalid,Unsatisfactory,,,1004,,U
findings-40,Signature corresponding to used `signedData_` can be replayed by calling `PhiFactory.createArt` function for multiple times to create multiple arts,validation-131,lack of details,Satisfactory,,,1040,131,S
findings-41,`PhiFactory.signatureClaim` and `PhiFactory.merkleClaim` functions lack slippage controls for specifying maximum total mint fee that respective function caller is willing to pay,findings-14,msg.value itself can serve for slippage control purpose,Satisfactory,,,1041,1014,S
findings-42,DOS of distribute for as long as the attacker wants to trap other cred holders,validation-372,unbounded array lead to unbounded gas,Satisfactory,,,1042,372,S
findings-43,Malicious user can use up refunded ether in the phiFactory contract to mint arts at zero cost,findings-11,and/or steal the excessive fund,Satisfactory,,,1043,1011,S
findings-44,"_initializePhiArt: `credMerkleRoot[credChainId][credId]` can be overwritten, potentially locking out previous art creators from claiming",findings-44,"invalid, creddata is signed",Unsatisfactory,,,1044,,U
findings-45,"User can claim art NFTs without paying `mintFee`, stealing ETH from PhiFactory",findings-11,and/or steal the excessive fund,Satisfactory,,,1045,1011,S
findings-46,Curator Blocked from Selling Last Share Due to Exploitation of `_removeCredIdPerAddress` public function,findings-51,visibility,Satisfactory,,,1046,1051,S
findings-47,"User can buy and sell cred share in one tx, violating `SHARE_LOCK_PERIOD`",findings-25,reentracncy,Satisfactory,,,1047,1025,S
findings-49,Cred creator can reenter buyShareCred function to get a better deal instead of buying all at once,findings-49,inconsistent price calc,Satisfactory,,,1049,1049,S
findings-5,"When you help other users purchase shares, the user's lock time will be refreshed, which may cause a DoS attack.",validation-619,grief dos,Satisfactory,,,1005,619,S
findings-50,Minter can take credCreator/verifier reward share,findings-50,intended behavior,Unsatisfactory,,,1050,,U
findings-51,Exposed `_removeCredIdPerAddress` & `_addCredIdPerAddress` allows anyone to cause issues to current holders as well as upcoming ones,findings-51,visibility,Satisfactory,,,1051,1051,S
findings-6,"When claiming, there is no check on the quantity",findings-6,intended behavior,Unsatisfactory,,,1006,,U
findings-7,The factory contract cannot receive payments from the NFT contract,findings-11,and it will revert,Satisfactory,,,1007,1011,S
findings-8,NFT1155 contract cannot be upgraded,findings-10,owner cannot call function,Satisfactory,,,1008,1010,S
validation-10,Improper ETH Handling in Claim Function Leading to Potential ETH Accumulation,findings-11,msg.value is handled incorrectly at this.claim,Satisfactory,,,10,1011,S
validation-100, Malicious User Can Use flashloan attack to get majority of the PhiRewards,findings-25,reentracncy,Satisfactory,,,100,1025,S
validation-101,Frontrunning of reward distribution allows to steal rewards from curators,findings-26,distribute mev,Satisfactory,,,101,1026,S
validation-102,PhiNFT1155 proxy can't be upgraded because the PhiFactory contract doesn't have a function to perform the upgrade.,findings-10,owner cannot call function,Satisfactory,,,102,1010,S
validation-103,Bonding curve calculations fail at maximum supply due to division by 0,validation-103,intended behavior,Unsatisfactory,,,103,,U
validation-104,"Precision loss in share lock period by an off-by-one error, which enables early trading",validation-104,no impact,Unsatisfactory,,,104,,U
validation-106,Attacker will mint creds with incorrect `credIdCounter` due to lack of error handling,validation-106,invalid,Unsatisfactory,,,106,,U
validation-107,Missing Access Control on _updateRoyalties,validation-107,insufficient quality,Unsatisfactory,,,107,,U
validation-108,Creator will set invalid royalty percentages affecting buyers and sellers,validation-108,no impact,Unsatisfactory,,,108,,U
validation-110,balance check came late and can be front runned by a bad user,validation-110,insufficient quality,Unsatisfactory,,,110,,U
validation-111,Any user can withdraw funds from any account via `RewardControl::withdrawFor()`,validation-111,intended behavior,Unsatisfactory,,,111,,U
validation-112,Sellers will receive undervalued prices for their tokens due to incorrect sell price calculation (`BondingCurve::getSellPrice`),validation-112,invalid,Unsatisfactory,,,112,,U
