issue,title,validator comment,status,size,Best
findings-23,QA Report,L3 dup of hm,Satisfactory,236,
findings-48,QA Report,L3 dup of hm,Satisfactory,350,
findings-9,QA Report,,Satisfactory,8,
validation-105,Gas Optimizations,,Unsatisfactory,38,
validation-109,QA Report,L1 L3 dup of hm,Satisfactory,394,
validation-119,QA Report,typo,Satisfactory,28,
validation-127,QA Report,,Unsatisfactory,116,
validation-146,Gas Optimizations,,Satisfactory,41,
validation-150,Gas Optimizations,,Unsatisfactory,5,
validation-151,QA Report,,Unsatisfactory,4,
validation-155,QA Report,,Unsatisfactory,10,
validation-158,QA Report,,Satisfactory,37,
validation-160,Gas Optimizations,,Satisfactory,88,
validation-161,QA Report,,Unsatisfactory,63,
validation-170,QA Report,,Unsatisfactory,21,
validation-182,QA Report,"The Claimable::signatureClaim function in the contract lacks critical input validation checks, dup of hm",Satisfactory,79,
validation-190,Gas Optimizations,,Unsatisfactory,33,
validation-2,Gas Optimizations,,Satisfactory,16,
validation-200,QA Report,,Satisfactory,124,
validation-213,Gas Optimizations,,Satisfactory,38,
validation-219,QA Report,,Satisfactory,20,
validation-227,QA Report,"1,2 dup of hm",Satisfactory,65,
validation-253,QA Report,l1 dup of hm,Satisfactory,74,
validation-254,QA Report,,Satisfactory,19,
validation-258,QA Report,,Unsatisfactory,3,
validation-279,QA Report,,Unsatisfactory,51,
validation-282,QA Report,,Unsatisfactory,35,
validation-31,Gas Optimizations,,Unsatisfactory,53,
validation-317,Gas Optimizations,,Satisfactory,57,
validation-32,QA Report,"l9, info1 dup of hm",Satisfactory,340,
validation-336,QA Report,,Satisfactory,120,
validation-337,Gas Optimizations,,Satisfactory,30,
validation-36,QA Report,,Unsatisfactory,10,
validation-37,QA Report,,Unsatisfactory,10,
validation-378,Gas Optimizations,,Unsatisfactory,39,
validation-38,QA Report,,Satisfactory,17,
validation-380,Gas Optimizations,,Unsatisfactory,51,
validation-412,QA Report,,Satisfactory,349,
validation-433,QA Report,,Satisfactory,69,
validation-439,QA Report,,Satisfactory,190,
validation-459,Gas Optimizations,,Satisfactory,1,
validation-478,QA Report,,Satisfactory,153,
validation-498,QA Report,,Satisfactory,20,
validation-499,Gas Optimizations,,Unsatisfactory,15,
validation-512,QA Report,,Satisfactory,626,
validation-529,QA Report,,Satisfactory,70,
validation-534,QA Report,qa 235 dup of hm,Satisfactory,285,
validation-535,QA Report,,Satisfactory,788,
validation-542,QA Report,l1l2l3 dup of hm,Satisfactory,50,
validation-544,Gas Optimizations,,Satisfactory,201,
validation-545,QA Report,,Unsatisfactory,59,
validation-555,Gas Optimizations,,Satisfactory,50,
validation-562,QA Report,l12 dup of hm nc8 typo,Satisfactory,96,
validation-567,QA Report,,Unsatisfactory,21,
validation-569,QA Report,,Unsatisfactory,12,
validation-582,QA Report,,Satisfactory,219,
validation-583,QA Report,,Unsatisfactory,25,
validation-586,QA Report,134 dup of hm,Satisfactory,134,
validation-587,QA Report,,Unsatisfactory,47,
validation-589,QA Report,,Satisfactory,1,
validation-592,QA Report,,Unsatisfactory,512,
validation-62,QA Report,,Unsatisfactory,1,
validation-624,QA Report,,Unsatisfactory,471,
validation-653,QA Report,,Unsatisfactory,61,
validation-655,QA Report,,Satisfactory,101,
validation-656,Gas Optimizations,,Unsatisfactory,7,
validation-663,QA Report,l9 dup of hm,Satisfactory,704,
validation-7,QA Report,123 dup of hm,Satisfactory,19,
validation-97,QA Report,,Satisfactory,4,
validation-348,QA Report,,Unsatisfactory,2,
validation-229,QA Report,,Unsatisfactory,29,
validation-6,QA Report,,Unsatisfactory,65,
validation-56,QA Report,,Unsatisfactory,81,
validation-485,QA Report,qa04 dup of hm,Satisfactory,447,
validation-256,QA Report,l3 dup of hm,Satisfactory,535,
